Price,Close,High,Low,Open,Volume,returns,return_squared,Regime_new,Regime_label
2014-08-19,7897.5,7918.5498046875,7881.14990234375,7901.0,140600,0.0029483116130798108,8.692541367821276e-06,0,Bull
2014-08-20,7875.2998046875,7922.7001953125,7864.0498046875,7915.7998046875,117300,-0.0028149992705591483,7.924220893248538e-06,1,Bear
2014-08-21,7891.10009765625,7919.64990234375,7855.9501953125,7875.35009765625,115200,0.0020043000756105184,4.017218793092329e-06,0,Bull
2014-08-22,7913.2001953125,7929.0498046875,7900.0498046875,7904.5498046875,104100,0.0027967213545059197,7.821650334749426e-06,0,Bull
2014-08-25,7906.2998046875,7968.25,7897.9501953125,7931.75,118500,-0.0008723905385931191,7.610652518267924e-07,1,Bear
2014-08-26,7904.75,7915.4501953125,7862.4501953125,7874.5,142800,-0.0001960407071773607,3.843195887059968e-08,1,Bear
2014-08-27,7936.0498046875,7946.85009765625,7916.5498046875,7933.89990234375,120000,0.0039518011472649325,1.5616732307524436e-05,0,Bull
2014-08-28,7954.35009765625,7967.7998046875,7939.2001953125,7942.25,189700,0.002303315356676902,5.305261632303646e-06,0,Bull
2014-09-01,8027.7001953125,8035.0,7984.0,7990.35009765625,139300,0.009179124246061186,8.425632192462833e-05,0,Bull
2014-09-02,8083.0498046875,8101.9501953125,8036.5498046875,8038.60009765625,134900,0.0068711670335596,4.721293640307623e-05,0,Bull
2014-09-03,8114.60009765625,8141.89990234375,8092.25,8110.85009765625,150700,0.0038956679592612917,1.5176228848815037e-05,0,Bull
2014-09-04,8095.9501953125,8114.7998046875,8060.89990234375,8114.2001953125,141300,-0.0023009595892866165,5.294415031530035e-06,1,Bear
2014-09-05,8086.85009765625,8122.7001953125,8049.85009765625,8099.89990234375,126000,-0.0011246630312066596,1.2648669337629518e-06,1,Bear
2014-09-08,8173.89990234375,8180.2001953125,8126.14990234375,8132.9501953125,120700,0.010706841477298593,0.00011463645442000151,0,Bull
2014-09-09,8152.9501953125,8174.5498046875,8126.5,8161.89990234375,104700,-0.002566290301383355,6.585845910974271e-06,1,Bear
2014-09-10,8094.10009765625,8135.75,8082.10009765625,8135.5498046875,107100,-0.007244435632928195,5.2481847639639734e-05,1,Bear
2014-09-11,8085.7001953125,8127.9501953125,8057.2998046875,8115.14990234375,122800,-0.0010383197500981691,1.0781079034439243e-06,1,Bear
2014-09-12,8105.5,8114.2998046875,8071.60009765625,8087.0498046875,111400,0.0024457500763813006,5.981693436119138e-06,0,Bull
2014-09-15,8042.0,8077.2998046875,8030.0,8070.35009765625,96500,-0.00786503512440859,6.185877750818085e-05,1,Bear
2014-09-16,7932.89990234375,8044.89990234375,7925.14990234375,8036.60009765625,128000,-0.013659152116613792,0.00018657243654479505,2,HighVol
2014-09-17,7975.5,7990.64990234375,7936.9501953125,7971.5,123700,0.005355686271897236,2.8683375442988513e-05,0,Bull
2014-09-18,8114.75,8120.85009765625,7939.7001953125,7950.64990234375,116900,0.01730905071438062,0.00029960323663300026,2,HighVol
2014-09-19,8121.4501953125,8160.89990234375,8105.35009765625,8129.39990234375,161300,0.0008253403644006908,6.81186717109065e-07,0,Bull
